"Var1","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Axillary_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_2h_R1","Axillary_Buds_2h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3"
"A0A9D4WSD9_PEA",19.6470561807246,19.1837304129794,18.9496602278447,19.6727723380903,18.9496602278447,18.6890686792695,19.6424870273044,19.4667745777485,18.2994106420529,18.4248274344917,18.1164571172583
"A0A9D4WSE0_PEA",15.2461834956075,17.7335801079132,15.671927273621,17.1279679451674,15.3756475089858,14.4210154481885,16.6981885924898,13.3926258627093,19.6432270737227,19.1730802242566,19.2927441886201
"A0A9D4WSF8_PEA",19.2201589351088,19.3597798260565,20.3501251109219,19.3859008328156,20.3501251109219,20.2293854250383,18.9915403520059,19.3698034687638,19.5373993545678,19.5427371683136,19.3117950665225
"A0A9D4WSG7_PEA",19.5653875312435,20.2424151821897,19.4365602108467,19.8187529701393,19.4365602108467,20.1177454872559,20.0592767963222,19.8641304967227,21.0406778758197,21.3581874352588,21.5043284190651
"A0A9D4WSI9_PEA",18.7958600782282,18.3137231532568,17.6462280125953,17.9992742186263,17.6462280125953,17.9653719495764,17.5291763875336,17.9597113806395,16.7044189643588,15.2318611038711,16.0038997682993
"A0A9D4WSM8_PEA",23.2700648929372,23.5052330735492,22.2713313592418,23.4915145525552,22.2713313592418,22.3057549759246,23.5171079562585,23.2342798259889,21.7726176908238,21.5695933842069,22.292151004155
"A0A9D4WSP5_PEA",20.2561643824623,20.7230871582261,19.5317529133741,20.1545768795243,19.5317529133741,19.5160087358744,20.1681636219557,19.7547089926565,19.93675898764,19.4288635674503,19.2784108879378
"A0A9D4WSP6_PEA",19.2423841838369,19.6752716414617,18.4898772597406,18.9407973230227,18.4898772597406,18.8251769227334,19.4428930990687,19.1139909994018,18.442504031026,18.4359348085943,18.4268804703519
"A0A9D4WST4_PEA",24.5019129357047,24.1538629980425,23.3379172755135,24.3546043943597,23.3379172755135,23.7539698749801,24.1207411263155,24.3779819486533,23.0873275965481,23.2200217440464,23.5425853396624
"A0A9D4WSY3_PEA",19.5145133660917,20.9272765991709,18.4611738899941,19.2329474103077,18.4611738899941,17.9759231623763,20.2837495659691,19.4559548620127,18.5883517011766,18.745624544198,18.2678487320235
"A0A9D4WSZ6_PEA",22.0322996342867,21.8390233485574,22.4659187541941,22.1570625130175,22.4659187541941,22.2710799473592,22.1619570937005,22.067984111674,22.6834778141901,22.6501254483524,22.441751994181
"A0A9D4WT05_PEA",20.9313762471467,20.4106563767402,21.3114825428587,20.737367537571,21.3114825428587,20.9508044443976,20.573809232669,20.1236290734509,21.2393974962034,22.1343025763608,21.8083268527647
"A0A9D4WT07_PEA",17.4462035240724,17.1209464177554,19.3702964985412,16.5079330630039,19.3702964985412,19.450360588966,17.4826815815829,17.3089208795945,19.2270261195522,20.6357087828745,20.7790563591474
"A0A9D4WT40_PEA",19.5411018069468,19.4302664646158,20.1198545061723,19.5049249097207,20.1198545061723,20.0644787494478,19.9231041970507,19.7476708879258,17.5090006906293,17.4268709941672,17.573088311257
"A0A9D4WT90_PEA",25.7535901543087,25.4605811213055,23.4334840700923,25.5287638557382,23.4334840700923,23.7549842027239,25.1903364564344,25.4500440218493,23.8337719388403,23.6412587415839,23.6190823774934
"A0A9D4WTE2_PEA",21.0755935399919,21.364727620102,19.8386472623442,21.6591031209331,18.0517745725083,16.8045935515163,21.429854984998,21.3004088207246,18.8027900206103,18.0364298064202,19.0415293488111
